id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
1,5.0,3.0,6.0,0.06666666666666667,0.0,,,infected
2,3.0,5.0,1.0,0.06666666666666667,0.0,,,infected
3,2.0,0.0,2.0,0.0,0.06666666666666667,,,infected
4,,0.0,11.0,0.4,0.0,,,not_infected
5,,2.0,0.0,0.0,0.0,,,not_infected
6,1.0,0.0,1.0,0.0,0.0,,,infected
7,,0.0,6.0,0.0,0.0,,,not_infected
8,3.0,1.0,2.0,0.0,0.0,,,infected
9,,5.0,4.0,0.06666666666666667,0.0,,,not_infected
10,2.0,0.0,1.0,0.0,0.0,,,infected
11,,0.0,4.0,0.06666666666666667,0.0,,,not_infected
12,8.0,6.0,2.0,0.13333333333333333,0.06666666666666667,,,infected
13,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
14,3.0,0.0,1.0,0.0,0.0,,,infected
15,5.0,3.0,2.0,0.06666666666666667,0.06666666666666667,,,infected
16,1.0,0.0,7.0,0.13333333333333333,0.0,,,infected
17,2.0,2.0,5.0,0.06666666666666667,0.0,,,infected
18,9.0,0.0,15.0,0.06666666666666667,0.0,,,infected
19,1.0,2.0,0.0,0.0,0.0,,,infected
20,6.0,0.0,13.0,0.0,0.0,,,infected
21,5.0,2.0,4.0,0.06666666666666667,0.0,,,infected
22,5.0,3.0,0.0,0.13333333333333333,0.0,,,infected
23,8.0,0.0,12.0,0.0,0.0,,,infected
24,3.0,0.0,1.0,0.0,0.0,,,infected
25,10.0,0.0,3.0,0.0,0.0,,,infected
26,4.0,1.0,7.0,0.06666666666666667,0.0,,,infected
27,5.0,1.0,4.0,0.0,0.0,,,infected
28,,0.0,6.0,0.06666666666666667,0.0,,,not_infected
29,2.0,0.0,1.0,0.0,0.0,,,infected
30,3.0,0.0,4.0,0.0,0.0,,,infected
31,2.0,0.0,4.0,0.0,0.0,,,infected
32,8.0,0.0,11.0,0.0,0.06666666666666667,,,infected
33,9.0,0.0,12.0,0.0,0.0,,,infected
34,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
35,,0.0,0.0,0.0,0.0,,,not_infected
36,4.0,0.0,3.0,0.13333333333333333,0.0,,,infected
37,1.0,0.0,0.0,0.0,0.0,,,infected
38,3.0,2.0,7.0,0.06666666666666667,0.0,,,infected
39,,0.0,0.0,0.0,0.0,,,not_infected
40,,0.0,7.0,0.06666666666666667,0.0,,,not_infected
41,2.0,0.0,5.0,0.06666666666666667,0.0,,,infected
42,,3.0,3.0,0.0,0.0,,,not_infected
43,2.0,1.0,1.0,0.13333333333333333,0.0,,,infected
44,,1.0,1.0,0.06666666666666667,0.0,,,not_infected
45,2.0,1.0,4.0,0.2,0.06666666666666667,,,infected
46,3.0,1.0,5.0,0.13333333333333333,0.0,,,infected
47,2.0,1.0,3.0,0.06666666666666667,0.0,,,infected
48,5.0,1.0,0.0,0.06666666666666667,0.0,,,infected
49,3.0,4.0,0.0,0.06666666666666667,0.0,,,infected
50,7.0,0.0,15.0,0.0,0.0,,,infected
51,,0.0,0.0,0.0,0.0,,,not_infected
52,4.0,0.0,4.0,0.0,0.0,,,infected
53,,0.0,3.0,0.0,0.0,,,not_infected
54,5.0,7.0,3.0,0.06666666666666667,0.06666666666666667,,,infected
55,,0.0,1.0,0.0,0.0,,,not_infected
56,,0.0,7.0,0.0,0.0,,,not_infected
57,3.0,1.0,6.0,0.0,0.0,,,infected
58,,0.0,4.0,0.0,0.0,,,not_infected
59,,0.0,0.0,0.0,0.0,,,not_infected
60,2.0,0.0,2.0,0.0,0.0,,,infected
61,1.0,1.0,5.0,0.06666666666666667,0.0,,,infected
