sender,receiver,time,weight
2,14,1,0.5
2,34,1,2.0
2,44,1,1.0
2,51,1,1.0
2,63,1,0.5
2,67,1,1.0
2,74,1,4.5
2,86,1,2.5
2,100,1,0.5
2,116,1,0.5
2,122,1,2.0
2,129,1,2.5
2,142,1,0.5
2,154,1,0.5
2,170,1,4.0
2,197,1,3.5
2,199,1,0.5
2,213,1,1.5
2,239,1,0.5
2,243,1,2.0
2,274,1,2.0
2,286,1,0.5
2,304,1,1.5
2,324,1,0.5
2,336,1,1.0
2,375,1,4.0
2,389,1,6.0
2,395,1,3.5
2,565,1,28.5
3,57,1,0.5
3,67,1,1.0
3,74,1,1.0
3,75,1,0.5
3,90,1,0.5
3,96,1,0.5
3,122,1,1.0
3,138,1,0.5
3,140,1,1.0
3,154,1,0.5
3,170,1,0.5
3,181,1,1.5
3,198,1,1.0
3,213,1,71.0
3,252,1,0.5
3,262,1,0.5
3,283,1,0.5
3,285,1,0.5
3,294,1,2.5
3,324,1,1.5
3,334,1,1.0
3,335,1,0.5
3,336,1,1.5
3,341,1,56.0
3,373,1,1.0
3,382,1,5.0
3,389,1,2.0
4,29,1,0.5
4,30,1,1.0
4,34,1,0.5
4,61,1,1.5
4,101,1,0.5
4,120,1,2.5
4,129,1,2.0
4,172,1,0.5
4,235,1,2.5
4,244,1,21.0
4,272,1,1.5
4,561,1,0.5
5,9,1,1.5
5,21,1,4.0
5,67,1,0.5
5,87,1,0.5
5,147,1,0.5
5,202,1,0.5
5,215,1,0.5
5,224,1,0.5
5,257,1,1.5
5,304,1,0.5
5,320,1,8.0
5,324,1,0.5
6,43,1,1.0
6,90,1,1.0
6,109,1,2.0
6,167,1,4.5
6,214,1,2.0
6,242,1,0.5
6,258,1,0.5
6,342,1,0.5
6,375,1,0.5
6,552,1,0.5
8,12,1,1.5
8,37,1,3.0
8,50,1,2.5
8,83,1,5.0
8,118,1,1.0
8,178,1,5.0
8,239,1,2.0
8,303,1,5.0
8,486,1,0.5
8,565,1,2.5
9,5,1,1.5
9,12,1,0.5
9,16,1,4.0
9,29,1,2.5
9,45,1,0.5
9,54,1,0.5
9,60,1,0.5
9,77,1,1.5
9,90,1,0.5
9,114,1,0.5
9,202,1,1.5
9,253,1,0.5
9,280,1,1.0
10,15,1,0.5
10,43,1,11.0
10,62,1,0.5
10,247,1,67.0
10,299,1,41.5
10,310,1,0.5
10,334,1,2.0
10,341,1,0.5
11,16,1,2.0
11,41,1,1.0
12,8,1,1.5
12,9,1,0.5
12,27,1,7.0
12,37,1,2.0
12,38,1,3.0
